Trial 1, Volume = 824.62

Trial 203, Volume = 37111.05

Trial 204, Volume = 0.00

Trial 205, Volume = 0.00

Trial 206, Volume = 0.00

Trial 207, Volume = 0.00

Trial 208, Volume = 152699.61

Trial 209, Volume = 0.00

Trial 210, Volume = 0.00

Trial 211, Volume = 0.00

Trial 212, Volume = 0.00

Trial 213, Volume = 90.11

Trial 214, Volume = 0.00

Trial 215, Volume = 47.66

Trial 216, Volume = 10116.47

Trial 217, Volume = 0.00

Trial 218, Volume = 0.00

Trial 219, Volume = 0.00

Trial 220, Volume = 0.00

Trial 221, Volume = 0.00

Trial 222, Volume = 0.00

Trial 223, Volume = 0.00

Trial 224, Volume = 0.00

Trial 225, Volume = 0.00

Trial 226, Volume = 0.00

Trial 227, Volume = 0.00

Trial 228, Volume = 0.00

Trial 229, Volume = 0.00

Trial 230, Volume = 0.00

Trial 231, Volume = 0.00

Trial 232, Volume = 0.00

Trial 233, Volume = 0.00

Trial 234, Volume = 0.00

Trial 235, Volume = 165.29

Trial 236, Volume = 0.00

Trial 237, Volume = 0.00

Trial 238, Volume = 0.00

Trial 239, Volume = 0.00

Trial 240, Volume = 0.00

Trial 241, Volume = 0.00

Trial 242, Volume = 0.00

Trial 243, Volume = 0.00

Trial 244, Volume = 0.00

Trial 245, Volume = 0.00

Trial 246, Volume = 326.37

Trial 247, Volume = 0.00

Trial 248, Volume = 0.00

Trial 249, Volume = 0.00

Trial 250, Volume = 1935.39

Trial 251, Volume = 0.00

Trial 252, Volume = 0.00

Trial 253, Volume = 0.00

Trial 254, Volume = 0.00

Trial 255, Volume = 0.00

Trial 256, Volume = 0.00

Trial 257, Volume = 0.00

Trial 258, Volume = 0.00

Trial 259, Volume = 0.00

Trial 260, Volume = 19883.84

Trial 261, Volume = 0.00

Trial 262, Volume = 1670.29

Trial 263, Volume = 0.00

Trial 264, Volume = 0.00

Trial 265, Volume = 0.00

Trial 266, Volume = 0.00

Trial 267, Volume = 0.00

Trial 268, Volume = 0.00

Trial 269, Volume = 7627.96

Trial 270, Volume = 0.00

Trial 271, Volume = 0.00

Trial 272, Volume = 1126.44

Trial 273, Volume = 0.00

Trial 274, Volume = 0.00

Trial 275, Volume = 0.00

Trial 276, Volume = 0.00

Trial 277, Volume = 230.54

Trial 278, Volume = 0.00

Trial 279, Volume = 0.00

Trial 280, Volume = 0.00

Trial 281, Volume = 0.00

Trial 282, Volume = 0.00

Trial 283, Volume = 0.00

Trial 284, Volume = 530.65

Trial 285, Volume = 0.00

Trial 286, Volume = 0.00

Trial 287, Volume = 0.00

Trial 288, Volume = 0.00

Trial 289, Volume = 0.00

Trial 290, Volume = 0.00

Trial 291, Volume = 0.00

Trial 292, Volume = 0.00

Trial 293, Volume = 0.00

Trial 294, Volume = 0.00

Trial 295, Volume = 25.73

Trial 296, Volume = 0.00

Trial 297, Volume = 0.00

Trial 298, Volume = 0.00

Trial 299, Volume = 0.00

Trial 300, Volume = 0.00

Trial 301, Volume = 0.00

Trial 302, Volume = 0.00

Trial 303, Volume = 0.00

Trial 304, Volume = 0.00

Trial 305, Volume = 0.00

Trial 306, Volume = 0.00

Trial 307, Volume = 1732.30

Trial 308, Volume = 0.00

Trial 309, Volume = 0.00

Trial 310, Volume = 0.00

Trial 311, Volume = 208.23

Trial 312, Volume = 0.00

Trial 313, Volume = 0.00

Trial 314, Volume = 0.00

Trial 315, Volume = 0.00

Trial 316, Volume = 0.00

Trial 317, Volume = 0.00

Trial 318, Volume = 160.87

Trial 319, Volume = 0.00

Trial 320, Volume = 0.00

Trial 321, Volume = 0.00

Trial 322, Volume = 0.00

Trial 323, Volume = 0.00

Trial 324, Volume = 0.00

Trial 325, Volume = 0.00

Trial 326, Volume = 0.00

Trial 327, Volume = 0.00

Trial 328, Volume = 0.00

Trial 329, Volume = 0.00

Trial 330, Volume = 0.00

Trial 331, Volume = 0.00

Trial 332, Volume = 0.00

Trial 333, Volume = 0.00

Trial 334, Volume = 0.00

Trial 335, Volume = 0.00

Trial 336, Volume = 0.00

Trial 337, Volume = 0.00

Trial 338, Volume = 0.00

Trial 339, Volume = 0.00

Trial 340, Volume = 0.00

Trial 341, Volume = 328509.00

Trial 342, Volume = 0.00

Trial 343, Volume = 7179.97

Trial 344, Volume = 0.00

Trial 345, Volume = 0.00

Trial 346, Volume = 0.00

Trial 347, Volume = 0.00

Trial 348, Volume = 0.00

Trial 349, Volume = 0.00

Trial 350, Volume = 0.00

Trial 351, Volume = 0.00

Trial 352, Volume = 0.00

Trial 353, Volume = 0.00

Trial 354, Volume = 0.00

Trial 355, Volume = 0.00

Trial 356, Volume = 0.00

Trial 357, Volume = 0.00

Trial 358, Volume = 0.00

Trial 359, Volume = 0.00

Trial 360, Volume = 0.00

Trial 361, Volume = 0.00

Trial 362, Volume = 0.00

Trial 363, Volume = 0.00

Trial 364, Volume = 0.00

Trial 365, Volume = 0.00

Trial 366, Volume = 0.00

Trial 367, Volume = 0.00

Trial 368, Volume = 0.00

Trial 369, Volume = 2979.53

Trial 370, Volume = 0.00

Trial 371, Volume = 0.00

Trial 372, Volume = 0.00

Trial 373, Volume = 0.00

Trial 374, Volume = 0.00

Trial 375, Volume = 479.16

Trial 376, Volume = 0.00

Trial 377, Volume = 0.00

Trial 378, Volume = 0.00

Trial 379, Volume = 0.00

Trial 380, Volume = 0.00

Trial 381, Volume = 0.00

Trial 382, Volume = 0.00

Trial 383, Volume = 0.00

Trial 384, Volume = 131.12

Trial 385, Volume = 4315.43

Trial 386, Volume = 0.00

Trial 387, Volume = 0.00

Trial 388, Volume = 0.00

Trial 389, Volume = 160.09

Trial 390, Volume = 0.00

Trial 391, Volume = 0.00

Trial 392, Volume = 0.00

Trial 393, Volume = 0.00

Trial 394, Volume = 0.00

Trial 395, Volume = 3400.70

Trial 396, Volume = 0.00

Trial 397, Volume = 0.00

Trial 398, Volume = 0.00

Trial 399, Volume = 0.00

Trial 400, Volume = 0.00

Trial 401, Volume = 314.02

Trial 402, Volume = 12734.00

Trial 403, Volume = 0.00

Trial 404, Volume = 47.83

Trial 405, Volume = 0.00

Trial 406, Volume = 428.27

Trial 407, Volume = 0.00

Trial 408, Volume = 0.00

Trial 409, Volume = 0.00

Trial 410, Volume = 983.21

Trial 411, Volume = 0.00

Trial 412, Volume = 0.00

Trial 413, Volume = 1197.87

Trial 414, Volume = 260.09

Trial 415, Volume = 0.00

Trial 416, Volume = 0.00

Trial 417, Volume = 0.00

Trial 418, Volume = 0.00

Trial 419, Volume = 0.00

Trial 420, Volume = 0.00

Trial 421, Volume = 0.00

Trial 422, Volume = 0.00

Trial 423, Volume = 0.00

Trial 424, Volume = 0.00

Trial 425, Volume = 0.00

Trial 426, Volume = 0.00

Trial 427, Volume = 2327.42

Trial 428, Volume = 133.12

Trial 429, Volume = 0.00

Trial 430, Volume = 0.00

Trial 431, Volume = 0.00

Trial 432, Volume = 0.00

Trial 433, Volume = 0.00

Trial 434, Volume = 0.00

Trial 435, Volume = 0.00

Trial 436, Volume = 0.00

Trial 437, Volume = 0.00

Trial 438, Volume = 2908.12

Trial 439, Volume = 0.00

Trial 440, Volume = 0.00

Trial 441, Volume = 0.00

Trial 442, Volume = 0.00

Trial 443, Volume = 0.00

Trial 444, Volume = 0.00

Trial 445, Volume = 0.00

Trial 446, Volume = 0.00

Trial 447, Volume = 0.00

Trial 448, Volume = 3788.00

Trial 449, Volume = 0.00

Trial 450, Volume = 0.00

Trial 451, Volume = 0.00

Trial 452, Volume = 0.00

Trial 453, Volume = 1974.13

Trial 454, Volume = 0.00

Trial 455, Volume = 0.00

Trial 456, Volume = 0.00

Trial 457, Volume = 0.00

Trial 458, Volume = 0.00

Trial 459, Volume = 0.00

Trial 460, Volume = 0.00

Trial 461, Volume = 0.00

Trial 462, Volume = 0.00

Trial 463, Volume = 0.00

Trial 464, Volume = 0.00

Trial 465, Volume = 0.00

Trial 466, Volume = 0.00

Trial 467, Volume = 0.00

Trial 468, Volume = 0.00

Trial 469, Volume = 0.00

Trial 470, Volume = 0.00

Trial 471, Volume = 0.00

Trial 472, Volume = 4794.77

Trial 473, Volume = 0.00

Trial 474, Volume = 0.00

Trial 475, Volume = 0.00

Trial 476, Volume = 0.00

Trial 477, Volume = 0.00

Trial 478, Volume = 0.00

Trial 479, Volume = 0.00

Trial 480, Volume = 0.00

Trial 481, Volume = 0.00

Trial 482, Volume = 0.00

Trial 483, Volume = 1382.72

Trial 484, Volume = 0.00

Trial 485, Volume = 0.00

Trial 486, Volume = 0.00

Trial 487, Volume = 0.00

Trial 488, Volume = 0.00

Trial 489, Volume = 0.00

Trial 490, Volume = 0.00

Trial 491, Volume = 0.00

Trial 492, Volume = 0.00

Trial 493, Volume = 0.00

Trial 494, Volume = 0.00

Trial 495, Volume = 0.00

Trial 496, Volume = 670.28

Trial 497, Volume = 0.00

Trial 498, Volume = 0.00

Trial 499, Volume = 0.00

Trial 500, Volume = 0.00

Trial 501, Volume = 1443.80

Trial 502, Volume = 0.00

Trial 503, Volume = 0.00

Trial 504, Volume = 0.00

Trial 505, Volume = 0.00

Trial 506, Volume = 834.84

Trial 507, Volume = 0.00

Trial 508, Volume = 0.00

Trial 509, Volume = 0.00

Trial 510, Volume = 0.00

Trial 511, Volume = 0.00

Trial 512, Volume = 0.00

Trial 513, Volume = 0.00

Trial 514, Volume = 0.00

Trial 515, Volume = 0.00

Trial 516, Volume = 0.00

Trial 517, Volume = 0.00

Trial 518, Volume = 6.85

Trial 519, Volume = 0.00

Trial 520, Volume = 0.00

Trial 521, Volume = 0.00

Trial 522, Volume = 5005.64

Trial 523, Volume = 0.00

Trial 524, Volume = 0.00

Trial 525, Volume = 0.00

Trial 526, Volume = 0.00

Trial 527, Volume = 0.00

Trial 528, Volume = 0.00

Trial 529, Volume = 0.00

Trial 530, Volume = 0.00

Trial 531, Volume = 0.00

Trial 532, Volume = 0.00

Trial 533, Volume = 27.21

Trial 534, Volume = 22.46

Trial 535, Volume = 0.00

Trial 536, Volume = 0.00

Trial 537, Volume = 0.00

Trial 538, Volume = 0.00

Trial 539, Volume = 0.00

Trial 540, Volume = 0.00

Trial 541, Volume = 0.00

Trial 542, Volume = 0.00

Trial 543, Volume = 0.00

Trial 544, Volume = 421.79

Trial 545, Volume = 0.00

Trial 546, Volume = 0.00

Trial 547, Volume = 0.00

Trial 548, Volume = 0.00

Trial 549, Volume = 0.00

Trial 550, Volume = 0.00

Trial 551, Volume = 0.00

Trial 552, Volume = 0.00

Trial 553, Volume = 0.00

Trial 554, Volume = 0.00

Trial 555, Volume = 0.00

Trial 556, Volume = 0.00

Trial 557, Volume = 0.00

Trial 558, Volume = 0.00

Trial 559, Volume = 0.00

Trial 560, Volume = 87.54

Trial 561, Volume = 0.00

Trial 562, Volume = 0.00

Trial 563, Volume = 0.00

Trial 564, Volume = 0.00

Trial 565, Volume = 0.00

Trial 566, Volume = 0.00

Trial 567, Volume = 6583.69

Trial 568, Volume = 732.97

Trial 569, Volume = 0.00

Trial 570, Volume = 0.00

Trial 571, Volume = 0.00

Trial 572, Volume = 0.00

Trial 573, Volume = 0.00

Trial 574, Volume = 0.00

Trial 575, Volume = 0.00

Trial 576, Volume = 0.00

Trial 577, Volume = 0.00

Trial 578, Volume = 322.88

Trial 579, Volume = 0.00

Trial 580, Volume = 0.00

Trial 581, Volume = 0.00

Trial 582, Volume = 1352.50

Trial 583, Volume = 0.00

Trial 584, Volume = 0.00

Trial 585, Volume = 0.00

Trial 586, Volume = 0.00

Trial 587, Volume = 0.00

Trial 588, Volume = 364.04

Trial 589, Volume = 0.00

Trial 590, Volume = 518.71

Trial 591, Volume = 0.00

Trial 592, Volume = 0.00

Trial 593, Volume = 0.00

Trial 594, Volume = 74052.00

Trial 595, Volume = 0.00

Trial 596, Volume = 0.00

Trial 597, Volume = 1.41

Trial 598, Volume = 723.69

Trial 599, Volume = 0.00

Trial 600, Volume = 0.00

Trial 601, Volume = 0.00

Trial 602, Volume = 644.16

Trial 603, Volume = 0.00

Trial 604, Volume = 0.00

Trial 605, Volume = 0.00

Trial 606, Volume = 0.00

Trial 607, Volume = 0.00

Trial 608, Volume = 0.00

Trial 609, Volume = 0.00

Trial 610, Volume = 0.00

Trial 611, Volume = 0.00

Trial 612, Volume = 0.00

Trial 613, Volume = 0.00

Trial 614, Volume = 0.00

Trial 615, Volume = 0.00

Trial 616, Volume = 0.00

Trial 617, Volume = 0.00

Trial 618, Volume = 0.00

Trial 619, Volume = 9201.03

Trial 620, Volume = 0.00

Trial 621, Volume = 0.00

Trial 622, Volume = 0.00

Trial 623, Volume = 0.00

Trial 624, Volume = 0.00

Trial 625, Volume = 0.00

Trial 626, Volume = 0.00

Trial 627, Volume = 0.00

Trial 628, Volume = 458.31

Trial 629, Volume = 0.00

Trial 630, Volume = 0.00

Trial 631, Volume = 0.00

Trial 632, Volume = 0.00

Trial 633, Volume = 0.00

Trial 634, Volume = 0.00

Trial 635, Volume = 0.00

Trial 636, Volume = 0.00

Trial 637, Volume = 0.00

Trial 638, Volume = 0.00

Trial 639, Volume = 0.00

Trial 640, Volume = 0.00

Trial 641, Volume = 0.00

Trial 642, Volume = 23557.63

Trial 643, Volume = 0.00

Trial 644, Volume = 20257.83

Trial 645, Volume = 0.00

Trial 646, Volume = 0.00

Trial 647, Volume = 596.93

Trial 648, Volume = 0.00

Trial 649, Volume = 0.00

Trial 650, Volume = 0.00

Trial 651, Volume = 688.00

Trial 652, Volume = 0.00

Trial 653, Volume = 0.00

Trial 654, Volume = 0.00

Trial 655, Volume = 0.00

Trial 656, Volume = 0.00

Trial 657, Volume = 0.00

Trial 658, Volume = 0.00

Trial 659, Volume = 0.00

Trial 660, Volume = 0.00

Trial 661, Volume = 0.00

Trial 662, Volume = 0.00

Trial 663, Volume = 0.00

Trial 664, Volume = 0.00

Trial 665, Volume = 0.00

Trial 666, Volume = 0.00

Trial 667, Volume = 0.00

Trial 668, Volume = 0.00

Trial 669, Volume = 0.00

Trial 670, Volume = 0.00

Trial 671, Volume = 0.00

Trial 672, Volume = 0.00

Trial 673, Volume = 0.00

Trial 674, Volume = 0.00

Trial 675, Volume = 0.00

Trial 676, Volume = 0.00

Trial 677, Volume = 50.24

Trial 678, Volume = 0.00

Trial 679, Volume = 0.00

Trial 680, Volume = 0.00

Trial 681, Volume = 0.00

Trial 682, Volume = 223855.10

Trial 683, Volume = 0.00

Trial 684, Volume = 0.00

Trial 685, Volume = 0.00

Trial 686, Volume = 0.00

Trial 687, Volume = 0.00

Trial 688, Volume = 0.00

Trial 689, Volume = 0.00

Trial 690, Volume = 0.00

Trial 691, Volume = 0.00

Trial 692, Volume = 0.00

Trial 693, Volume = 0.00

Trial 694, Volume = 0.00

Trial 695, Volume = 0.00

Trial 696, Volume = 111.04

Trial 697, Volume = 0.00

Trial 698, Volume = 0.00

Trial 699, Volume = 0.00

Trial 700, Volume = 0.00

Trial 701, Volume = 33513.12

Trial 702, Volume = 459.92

Trial 703, Volume = 0.00

Trial 704, Volume = 0.00

Trial 705, Volume = 0.00

Trial 706, Volume = 258.66

Trial 707, Volume = 0.00

Trial 708, Volume = 0.00

Trial 709, Volume = 1648.23

Trial 710, Volume = 12.28

Trial 711, Volume = 0.00

Trial 712, Volume = 0.00

Trial 713, Volume = 0.00

Trial 714, Volume = 0.00

Trial 715, Volume = 0.00

Trial 716, Volume = 1909.98

Trial 717, Volume = 0.00

Trial 718, Volume = 0.00

Trial 719, Volume = 0.00

Trial 720, Volume = 0.00

Trial 721, Volume = 0.00

Trial 722, Volume = 34.64

Trial 723, Volume = 0.00

Trial 724, Volume = 0.00

Trial 725, Volume = 0.00

Trial 726, Volume = 0.00

Trial 727, Volume = 29.12

Trial 728, Volume = 0.00

Trial 729, Volume = 0.00

Trial 730, Volume = 0.00

Trial 731, Volume = 928.34

Trial 732, Volume = 1054.27

Trial 733, Volume = 0.00

Trial 734, Volume = 0.00

Trial 735, Volume = 0.00

Trial 736, Volume = 0.00

Trial 737, Volume = 0.00

Trial 738, Volume = 12.26

Trial 739, Volume = 0.00

Trial 740, Volume = 0.00

Trial 741, Volume = 0.00

Trial 742, Volume = 0.00

Trial 743, Volume = 48775.11

Trial 744, Volume = 0.00

Trial 745, Volume = 0.00

Trial 746, Volume = 0.00

Trial 747, Volume = 7838.40

Trial 748, Volume = 1345.80

Trial 749, Volume = 0.00

Trial 750, Volume = 0.00

Trial 751, Volume = 0.00

Trial 752, Volume = 0.00

Trial 753, Volume = 0.00

Trial 754, Volume = 0.00

Trial 755, Volume = 535.52

Trial 756, Volume = 0.00

Trial 757, Volume = 0.00

Trial 758, Volume = 0.00

Trial 759, Volume = 0.00

Trial 760, Volume = 0.00

Trial 761, Volume = 0.00

Trial 762, Volume = 0.00

Trial 763, Volume = 0.00

Trial 764, Volume = 0.00

Trial 765, Volume = 0.00

Trial 766, Volume = 0.00

Trial 767, Volume = 0.00

Trial 768, Volume = 0.00

Trial 769, Volume = 0.00

Trial 770, Volume = 0.00

Trial 771, Volume = 0.00

Trial 772, Volume = 400.54

Trial 773, Volume = 0.00

Trial 774, Volume = 0.00

Trial 775, Volume = 4570.69

Trial 776, Volume = 0.00

Trial 777, Volume = 0.00

Trial 778, Volume = 0.00

Trial 779, Volume = 0.00

Trial 780, Volume = 105.06

Trial 781, Volume = 0.00

Trial 782, Volume = 0.00

Trial 783, Volume = 90.92

Trial 784, Volume = 0.00

Trial 785, Volume = 0.00

Trial 786, Volume = 0.00

Trial 787, Volume = 0.00

Trial 788, Volume = 0.00

Trial 789, Volume = 0.00

Trial 790, Volume = 0.00

Trial 791, Volume = 406.89

Trial 792, Volume = 365.06

Trial 793, Volume = 0.00

Trial 794, Volume = 0.00

Trial 795, Volume = 0.00

Trial 796, Volume = 0.00

Trial 797, Volume = 0.00

Trial 798, Volume = 0.00

Trial 799, Volume = 188.27

Trial 800, Volume = 0.00

Trial 801, Volume = 0.00

Trial 802, Volume = 0.00

Trial 803, Volume = 0.00

Trial 804, Volume = 0.00

Trial 805, Volume = 0.00

Trial 806, Volume = 0.00

Trial 807, Volume = 0.00

Trial 808, Volume = 0.00

Trial 809, Volume = 0.00

Trial 810, Volume = 0.00

Trial 811, Volume = 0.00

Trial 812, Volume = 0.00

Trial 813, Volume = 1879.78

Trial 814, Volume = 0.00

Trial 815, Volume = 0.00

Trial 816, Volume = 0.00

Trial 817, Volume = 0.00

Trial 818, Volume = 0.00

Trial 819, Volume = 0.00

Trial 820, Volume = 1082.21

Trial 821, Volume = 0.00

Trial 822, Volume = 0.00

Trial 823, Volume = 0.00

Trial 824, Volume = 0.00

Trial 825, Volume = 0.00

Trial 826, Volume = 46.93

Trial 827, Volume = 0.00

Trial 828, Volume = 0.00

Trial 829, Volume = 0.00

Trial 830, Volume = 0.00

Trial 831, Volume = 0.00

Trial 832, Volume = 0.00

Trial 833, Volume = 0.00

Trial 834, Volume = 0.00

Trial 835, Volume = 0.00

Trial 836, Volume = 0.00

Trial 837, Volume = 0.00

Trial 838, Volume = 0.00

Trial 839, Volume = 0.00

Trial 840, Volume = 47.43

Trial 841, Volume = 0.00

Trial 842, Volume = 0.00

Trial 843, Volume = 0.00

Trial 844, Volume = 0.00

Trial 845, Volume = 0.00

Trial 846, Volume = 0.00

Trial 847, Volume = 0.00

Trial 848, Volume = 0.00

Trial 849, Volume = 0.00

Trial 850, Volume = 0.00

Trial 851, Volume = 375.63

Trial 852, Volume = 0.00

Trial 853, Volume = 0.00

Trial 854, Volume = 0.00

Trial 855, Volume = 0.00

Trial 856, Volume = 0.00

Trial 857, Volume = 0.00

Trial 858, Volume = 0.00

Trial 859, Volume = 0.00

Trial 860, Volume = 0.00

Trial 861, Volume = 0.00

Trial 862, Volume = 1548.63

Trial 863, Volume = 0.00

Trial 864, Volume = 0.00

Trial 865, Volume = 0.00

Trial 866, Volume = 0.00

Trial 867, Volume = 0.00

Trial 868, Volume = 0.00

Trial 869, Volume = 0.00

Trial 870, Volume = 0.00

